岗位名称,公司名,招聘详情页,薪资,工作地点,身份要求,学历要求,公司规模,公司简介
公关,慕可生物,https://www.shixiseng.com/intern/inn_tsrzvgerimjh?pcm=pc_SearchList,5k-10k/月,广州,| 应届生,| 大专,2000人以上, 
公关,深演智能,https://www.shixiseng.com/intern/inn_zzgvamwekzf9?pcm=pc_SearchList,薪资面议,北京,| 应届生,| 本科,150-500人,发展无上限，商圈繁华，这里有感情，结构扁平，国际视野，搭档牛X，知识共享型企业，六险一金，年轻人有话题
公关,猎奇互娱,https://www.shixiseng.com/intern/inn_cdpluqqqaxpm?pcm=pc_SearchList,8k-13k/月,广州,| 应届生,| 本科,500-2000人,软件，内推实习资格，在梦想，规模化盈利，每周活动，五险&amp; 双休
公关,赤子网络,https://www.shixiseng.com/intern/inn_slafc0vgzqcu?pcm=pc_SearchList,5k-10k/月,深圳,| 应届生 | 毕业1年内,| 大专,50-150人, 
公关,植观,https://www.shixiseng.com/intern/inn_na0h1ceeczsa?pcm=pc_SearchList,8k-10k/月,广州,| 应届生 | 毕业1年内,| 本科,50-150人,宝洁高管集结，小鹏产品体验官，大牛如云，急速成长，培养核心竞争力，该有的假期都有
公关,德施曼,https://www.shixiseng.com/intern/inn_mvsj2k1i2vth?pcm=pc_SearchList,3k-4k/月,杭州,| 应届生,| 本科,500-2000人,年轻朝气，工作开心，社保&amp; 双休
公关,国双,https://www.shixiseng.com/intern/inn_klrhxdz4vq84?pcm=pc_SearchList,7k-12k/月,北京,| 应届生,| 本科,500-2000人,实习机会多，和谐友爱，轻松自由，气氛好
公关,缙嘉科技,https://www.shixiseng.com/intern/inn_j6wfbr6btgyo?pcm=pc_SearchList,3k-5k/月,上海,| 应届生,| 不限,150-500人, 
公关,创酷互动,https://www.shixiseng.com/intern/inn_mpddmc3sslpc?pcm=pc_SearchList,7k-10k/月,广州,| 应届生,| 本科,500-2000人,周末双休，带薪年假，五险一金绩效，管理扁平化，员工体检，成长迅速
公关,国双,https://www.shixiseng.com/intern/inn_y90bpdlqqd5b?pcm=pc_SearchList,7k-12k/月,北京,| 应届生,| 本科,500-2000人,实习机会多，和谐友爱，轻松自由，气氛好
公关,国双,https://www.shixiseng.com/intern/inn_9ptzdax2lggo?pcm=pc_SearchList,7k-12k/月,深圳,| 应届生,| 本科,500-2000人,实习机会多，和谐友爱，轻松自由，气氛好
公关,国双,https://www.shixiseng.com/intern/inn_uahaqxiz5yn4?pcm=pc_SearchList,7k-12k/月,上海,| 应届生,| 本科,500-2000人,实习机会多，和谐友爱，轻松自由，气氛好
公关,国双,https://www.shixiseng.com/intern/inn_lkwuyaeinhqu?pcm=pc_SearchList,7k-12k/月,北京,| 应届生,| 本科,500-2000人,实习机会多，和谐友爱，轻松自由，气氛好
公关,小希,https://www.shixiseng.com/intern/inn_xzlledtan74i?pcm=pc_SearchList,5k-15k/月,广州,| 应届生 | 毕业1年内,| 大专,2000人以上,提供转正，毕业可转正，近地铁站，人性化，氛围活跃
公关,金地集团,https://www.shixiseng.com/intern/inn_j3r41brsqwyq?pcm=pc_SearchList,9k-12k/月,天津,| 应届生 | 毕业1年内,| 本科,150-500人,有文化，学习氛围好，工作环境单纯，追求极致，氛围好，领导超nice
公关,国双,https://www.shixiseng.com/intern/inn_9cq3s6jrk994?pcm=pc_SearchList,7k-12k/月,深圳,| 应届生,| 本科,500-2000人,实习机会多，和谐友爱，轻松自由，气氛好
公关,国双,https://www.shixiseng.com/intern/inn_6shnl2qxp0kj?pcm=pc_SearchList,7k-12k/月,广州,| 应届生,| 本科,500-2000人,实习机会多，和谐友爱，轻松自由，气氛好
公关,国双,https://www.shixiseng.com/intern/inn_flp1jvbyaxcr?pcm=pc_SearchList,7k-12k/月,广州,| 应届生,| 本科,500-2000人,实习机会多，和谐友爱，轻松自由，气氛好
公关,国双,https://www.shixiseng.com/intern/inn_uxvznugegwsd?pcm=pc_SearchList,7k-12k/月,上海,| 应届生,| 本科,500-2000人,实习机会多，和谐友爱，轻松自由，气氛好
公关,Newme,https://www.shixiseng.com/intern/inn_aybf6szlse7b?pcm=pc_SearchList,8k-15k/月,上海,| 应届生 | 毕业1年内,| 本科,15-50人,跨境电商，泛家居，TikTok
